objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,cityhall.jpg,,,Pasig City Hall,,1910-10-14,The Pasig City Hall is located at Caruncho Avenue. Pasigueños go here to avail of the local government’s administrative services. ,landmark;city hall,"Brgy. San Nicolas, Pasig City",14.5596,121.0812,,A0001,Image;StillImage,image/jpeg,eng,Public domain,
coll002,cathedral.png,,,Pasig Cathedral,,,"The Immaculate Conception Cathedral, or more commonly known as the Pasig Cathedral, is one of the oldest structures in Pasig. Catholic Pasigueños may go here to express their worship.",landmark;church,"Brgy. Malinao, Pasig City",14.5605,121.077,,A0002,Image;StillImage,image/jpeg,eng,,
coll003,plazarizal.jpg,,,Plaza Rizal,,,"Through the Plaza Rizal, Pasigueños also have a place for recreation. The open space coupled with the luscious greenery can serve as the right place to be with family and friends.",landmark;plaza;park,"Brgy. Malinao, Pasig City",14.5606,121.0763,,A0003,Image;StillImage,image/jpeg,eng,,
coll004,market.jpg,,,Pasig Mega Market,,,A few walks from City Hall is the Pasig City Mega Market — popularly known as Pasig Palengke. The market is huge and contains a variety of food that Pasigueños can choose from.,landmark;public market,"Caruncho Ave., Pasig City",14.5764,121.0851,,A0004,Image;StillImage,image/jpeg,eng,,
coll005,rizalhigh.jpg,,,Rizal High School,Rizal High School DRR Activities,2022-09-21,"Dubbed as the 2nd largest high school in the Guiness Book of World Record, the school has also become an iconic landmark for this accomplishment.",landmark;school;,"Dr. Sixto Antonio Ave., Pasig City",14.568,121.0761,,A0005,Image;StillImage,image/jpeg,eng,,
coll006,philsports.jpg,,,PhilSports Complex,Mark Demayo,,"Another place for recreation is the PhilSports Complex. It was opened in 1985 and has a 10,000 person capacity.",landmark;sports;arena,"Meralco Ave., Pasig City",14.5773,121.0661,,A0006,Image;StillImage,image/jpeg,eng,,
coll007,revolving.jpg,,,Pasig Revolving Tower,patrickroque01,2021-04-26,The Pasig Revolving Tower is a tourist attraction that can be found in the city. The 12-storey building was once called “Mutya ng Pasig”.,landmark;building;,"Caruncho Ave., Pasig City",14.5588,121.0831,,A0007,Image;StillImage,image/jpeg,eng,,
coll008,,Ihl1sVgIRt4,,Pasig Rainforest Park (RAVE),UNTV News and Rescue,2017-12-10,Another place that Pasigueños can go to for leisure is the Pasig Rainforest Park. It also has a mini-zoo that you can explore.,landmark;park;,"Brgy. Maybunga, Pasig City",14.5738,121.0977,,A0008,,video/mp4,eng,,
coll009,estancia.png,,,Estancia,Ortigas Malls,2019-12-03,"The Estancia Mall has a variety of restaurants and other services that visitors can explore. The Capitol Commons Park is also within the vicinity, perfect for jogs and picnics.",landmark;mall;,"Brgy. Oranbo, Pasig City",14.5763,121.0631,,A0009,Image;StillImage,image/jpeg,eng,,
coll010,pride1.jpg,,,Pasig Pride 2023,Pasig City Public Information Office,2023-06-25,"The city also holds its own Pride event to celebrate the diversity and bravery of queer Pasigueños, and to advocate the call for safe spaces and equality. ",event; pride march; pride month,Pasig City Hall Quadrangle; Arcovia City ,14.5596,121.0812,,E0001,Image;StillImage,image/jpeg,eng,Public domain,
coll011,pride2.jpg,,,Pasig Pride 2023,Pasig City Public Information Office,2023-06-25,"The city also holds its own Pride event to celebrate the diversity and bravery of queer Pasigueños, and to advocate the call for safe spaces and equality. ",event; pride march; pride month,Pasig City Hall Quadrangle; Arcovia City ,14.5596,121.0812,,E0002,Image;StillImage,image/jpeg,eng,Public domain,
